experiment_id	description	val_pearson_r	val_mae	loo_r	test_r	n_features	selected	notes
exp_001	Lasso k=2 baseline	0.660446	0.554409	0.697966	-0.490217	2	E2_chem_shape, E4_bio_pocket_polarity	baseline
exp_002	Lasso k=3	0.660436	0.554412	0.674180	-0.490214	3	E2_chem_shape, E4_bio_resolution_weight, E4_bio_pocket_polarity	k=3
exp_003	Lasso k=4	0.730762	0.543105	0.655273	-0.314690	4	E2_chem_shape, E4_bio_pocket_druggability, E4_bio_resolution_weight, E4_bio_pocket_polarity	k=4
exp_004	Lasso k=5	0.713971	0.535505	0.626761	-0.400957	5	E2_chem_shape, E4_bio_pocket_druggability, E4_bio_resolution_weight, E4_bio_pocket_polarity, E4_bio_size_penalty	k=5
exp_005	Lasso k=6	0.688099	0.505275	0.685466	-0.197706	6	E2_chem_shape, E4_bio_pocket_druggability, E4_bio_resolution_weight, E4_bio_family_hydrophobic, E4_bio_pocket_polarity, E4_bio_size_penalty	k=6
exp_006	Lasso k=2 + VQE	-0.726911	0.695389	-0.173215	-0.290352	2		k=2+VQE
exp_007	Lasso k=2 + VQE	-0.723802	0.694412	-0.173207	-0.292254	2		k=2+VQE
exp_008	Lasso k=2 + VQE	-0.726134	0.695057	-0.173504	-0.291038	2		k=2+VQE
exp_009	Lasso k=2 + VQE	-0.721307	0.693898	-0.172922	-0.288066	2		k=2+VQE
exp_010	Lasso k=2 + VQE	-0.760111	0.723540	-0.221762	-0.269728	2		k=2+VQE
exp_011	Lasso k=2 + VQE	-0.725765	0.694788	-0.173104	-0.294877	2		k=2+VQE
exp_012	Lasso k=2 + VQE	-0.717434	0.706584	-0.022202	-0.292778	2		k=2+VQE
exp_013	Lasso k=2 + VQE	-0.717434	0.706584	-0.022202	-0.292778	2		k=2+VQE
exp_014	Lasso k=2 + VQE	-0.726860	0.708424	-0.102751	-0.295185	2		k=2+VQE
exp_015	Lasso k=2 + VQE	-0.717434	0.706584	-0.022202	-0.292778	2		k=2+VQE
exp_016	Lasso k=2 + VQE	-0.717434	0.706584	-0.022202	-0.292778	2		k=2+VQE
exp_017	Lasso k=2 + VQE	-0.796821	0.731193	-0.107057	-0.336724	2		k=2+VQE
exp_018	Lasso k=2 + VQE	0.686456	0.572021	0.142169	-0.507044	2		k=2+VQE
exp_019	Lasso k=2 + VQE	-0.717434	0.706584	-0.022202	-0.292778	2		k=2+VQE
exp_020	Lasso k=2 + VQE	-0.704986	0.842792	0.136556	0.942794	2		k=2+VQE
exp_021	Lasso k=2 + VQE	-0.708380	0.709127	-0.084998	-0.309240	2		k=2+VQE
exp_022	Lasso k=2 + VQE	-0.015790	0.627324	0.314202	0.342413	2		k=2+VQE
exp_023	Lasso k=2 + VQE	-0.740628	0.787542	0.292572	-0.395876	2		k=2+VQE
exp_024	Lasso k=2 + VQE	-0.717434	0.745681	0.273862	-0.292778	2		k=2+VQE
exp_025	Lasso k=2 + VQE	-0.717434	0.752745	0.074936	-0.292778	2		k=2+VQE
exp_026	Lasso k=2 + VQE	-0.048144	0.648010	0.818868	-0.305956	2		k=2+VQE
exp_027	Lasso k=2 + VQE	-0.717434	0.762070	0.340384	0.771892	2		k=2+VQE
exp_028	Lasso k=2 + VQE	-0.514860	0.709053	-0.275200	0.840851	2		k=2+VQE
exp_029	Lasso k=3 + VQE	-0.723802	0.694413	-0.173391	-0.292254	3		k=3+VQE
exp_030	Lasso k=3 + VQE	-0.726134	0.695058	-0.173491	-0.291038	3		k=3+VQE
exp_031	Lasso k=3 + VQE	-0.726911	0.695389	-0.173217	-0.290352	3		k=3+VQE
exp_032	Lasso k=3 + VQE	-0.726911	0.695389	-0.283193	-0.290352	3		k=3+VQE
exp_033	Lasso k=3 + VQE	-0.725764	0.694789	-0.173677	-0.294877	3		k=3+VQE
exp_034	Lasso k=3 + VQE	-0.726911	0.695389	-0.173215	-0.290352	3		k=3+VQE
exp_035	Lasso k=3 + VQE	-0.726911	0.695389	-0.173215	-0.290352	3		k=3+VQE
exp_036	Lasso k=3 + VQE	-0.775158	0.700771	-0.318745	-0.300657	3		k=3+VQE
exp_037	Lasso k=3 + VQE	-0.726911	0.695389	-0.173215	-0.290352	3		k=3+VQE
exp_038	Lasso k=3 + VQE	-0.726911	0.695389	-0.173215	-0.290352	3		k=3+VQE
exp_039	Lasso k=3 + VQE	-0.779488	0.708130	-0.270305	-0.319952	3		k=3+VQE
exp_040	Lasso k=3 + VQE	0.745955	0.560070	0.089450	-0.535766	3		k=3+VQE
exp_041	Lasso k=3 + VQE	-0.726911	0.695389	-0.173215	-0.290352	3		k=3+VQE
exp_042	Lasso k=3 + VQE	-0.675636	0.835066	0.053940	0.841570	3		k=3+VQE
exp_043	Lasso k=3 + VQE	-0.726910	0.695390	-0.193828	-0.290352	3		k=3+VQE
exp_044	Lasso k=3 + VQE	-0.015086	0.627298	0.293749	0.343297	3		k=3+VQE
exp_045	Lasso k=3 + VQE	-0.740962	0.786615	0.284871	-0.395004	3		k=3+VQE
exp_046	Lasso k=3 + VQE	-0.722111	0.736947	0.252035	-0.291642	3		k=3+VQE
exp_047	Lasso k=3 + VQE	-0.719683	0.747204	0.018581	-0.292245	3		k=3+VQE
exp_048	Lasso k=3 + VQE	0.060778	0.642324	0.803915	-0.305432	3		k=3+VQE
exp_049	Lasso k=3 + VQE	-0.722554	0.752059	0.430330	0.741893	3		k=3+VQE
exp_050	Lasso k=3 + VQE	-0.466543	0.696134	-0.324360	0.752877	3		k=3+VQE
exp_051	Lasso k=3 + VQE	-0.726134	0.695058	-0.173621	-0.291038	3		k=3+VQE
exp_052	Lasso k=3 + VQE	-0.723802	0.694412	-0.173209	-0.292254	3		k=3+VQE
exp_053	Lasso k=3 + VQE	-0.723802	0.694412	-0.283241	-0.292254	3		k=3+VQE
exp_054	Lasso k=3 + VQE	-0.725764	0.694789	-0.173228	-0.294877	3		k=3+VQE
