split	pdb_id	true	pred	error
train	1cqq	6.16	9.71	+3.557
train	2yaz	5.14	6.31	+1.168
train	3zi8	5.66	5.62	-0.036
train	1csr	6.23	6.20	-0.033
train	4yo8	10.52	6.17	-4.349
train	6s5k	7.32	6.39	-0.932
train	6g27	3.14	6.24	+3.101
train	1qaw	5.12	4.98	-0.144
train	6p87	4.60	4.93	+0.325
train	1cts	6.16	5.57	-0.590
train	4bqs	4.21	6.88	+2.671
train	4whs	4.12	4.41	+0.286
train	3ok9	11.23	10.21	-1.024
train	1crh	6.38	5.74	-0.635
train	5zni	4.39	6.02	+1.633
train	4i7k	3.04	5.34	+2.304
train	4avi	7.63	6.76	-0.866
train	1kzk	10.39	7.46	-2.935
train	5h9r	6.08	5.66	-0.415
train	1rmz	8.00	6.96	-1.044
train	1crq	6.38	6.47	+0.089
train	3pwm	9.10	9.83	+0.729
train	5k8s	8.22	5.27	-2.955
train	6g25	3.52	4.67	+1.149
train	4ts1	4.94	5.68	+0.745
train	3ljg	7.73	6.30	-1.425
train	5u13	5.41	6.16	+0.747
train	6b1k	6.67	5.85	-0.824
train	4b5t	3.33	4.43	+1.098
train	3su1	6.68	7.09	+0.407
train	3tkw	5.27	10.09	+4.815
train	5e2p	8.80	6.48	-2.319
train	3suf	7.56	7.91	+0.348
train	4bqh	5.59	5.76	+0.173
train	1g98	5.70	5.24	-0.460
train	2i4z	5.70	6.99	+1.287
train	4b5w	3.33	4.21	+0.877
train	1w4q	5.26	5.84	+0.578
train	5edb	7.00	6.07	-0.928
train	5t8p	5.89	5.70	-0.186
train	1uwf	6.82	6.83	+0.013
train	1cpq	6.30	6.42	+0.118
train	5u11	5.35	5.57	+0.221
train	2oi2	6.30	5.34	-0.955
train	5btx	3.55	5.48	+1.925
train	5fut	6.45	7.74	+1.287
train	5n0f	6.05	4.85	-1.204
train	1e3v	4.34	5.72	+1.379
train	6c85	3.90	5.10	+1.197
train	1w4o	5.22	5.91	+0.687
train	3f6g	4.72	4.84	+0.119
train	6dpy	4.10	7.87	+3.768
train	3nq9	4.03	5.61	+1.581
train	4buq	8.14	6.82	-1.321
train	4ovf	4.13	6.20	+2.071
train	6dar	6.66	6.86	+0.197
train	1tsy	4.96	6.21	+1.246
train	6nu1	4.51	4.88	+0.374
train	1g74	6.52	5.53	-0.990
train	3i6o	10.35	8.46	-1.894
train	1rpf	3.99	5.94	+1.952
train	2x0y	4.60	5.08	+0.480
train	5fnu	8.89	6.86	-2.028
train	3ddf	4.66	6.44	+1.777
train	4hla	10.80	9.80	-1.002
train	1hmt	5.79	5.52	-0.269
train	1uwu	5.98	5.09	-0.891
train	4u0w	3.00	5.41	+2.410
train	1gpn	6.48	5.74	-0.739
train	3bkk	6.08	6.23	+0.152
train	3sug	6.21	8.02	+1.808
train	3own	7.47	7.64	+0.175
train	1crx	5.79	6.51	+0.722
train	3tcg	5.87	4.66	-1.212
train	3fed	7.46	5.18	-2.278
train	2zmm	7.60	6.43	-1.165
train	6fa4	7.29	6.62	-0.671
train	2cbv	5.48	5.05	-0.426
train	6arm	4.97	5.56	+0.586
train	5lli	7.05	6.73	-0.316
train	1cov	6.82	6.18	-0.639
train	5kqy	9.29	10.80	+1.514
train	6a87	3.15	5.99	+2.842
train	3mfv	2.52	4.94	+2.419
train	3rv8	4.92	6.39	+1.468
train	3gdt	7.19	5.56	-1.633
train	4dkp	5.72	6.03	+0.312
train	1u1w	5.85	4.53	-1.319
train	3s0e	6.55	5.74	-0.811
train	1ctp	6.23	6.00	-0.229
train	4u1b	5.31	5.13	-0.184
train	1jmf	5.77	6.17	+0.404
train	5fbi	2.80	5.53	+2.734
train	2y82	8.40	8.78	+0.382
train	5ad1	7.24	5.75	-1.485
train	3gi5	11.22	9.21	-2.014
train	2xda	6.22	5.93	-0.292
train	4sga	7.30	7.23	-0.068
train	1igb	6.40	5.52	-0.877
train	1crc	6.01	5.71	-0.305
train	2qbp	8.40	7.48	-0.918
train	6ays	9.19	7.68	-1.511
train	5o2d	5.68	5.28	-0.396
train	4l19	6.10	5.72	-0.384
train	1csy	6.30	7.13	+0.825
train	3veh	4.96	5.08	+0.120
train	1avn	6.52	5.73	-0.791
train	3k37	8.92	7.02	-1.903
train	3ocp	7.57	5.40	-2.167
train	1wdn	6.30	4.76	-1.540
train	2vw1	3.52	5.87	+2.354
train	6ny0	5.40	4.76	-0.643
train	6p3v	7.02	5.80	-1.216
train	2v3d	3.94	6.93	+2.995
train	4xar	6.97	5.09	-1.882
train	3uev	5.89	5.58	-0.307
train	6udv	10.29	8.50	-1.787
train	2xb8	7.59	7.02	-0.567
train	1njc	5.55	6.40	+0.853
train	5mgk	4.00	4.92	+0.920
train	1v1j	4.82	5.44	+0.618
train	5mby	3.51	4.65	+1.138
train	4cr5	4.15	5.57	+1.416
train	6qr1	5.07	5.29	+0.221
train	1fcy	8.52	4.77	-3.751
train	1ecv	4.85	4.95	+0.100
train	2zcr	6.87	6.82	-0.048
train	4n9c	3.90	4.50	+0.597
train	4ai5	2.92	5.49	+2.572
train	1det	4.30	6.39	+2.092
train	1ctd	6.01	4.78	-1.229
train	6qqq	5.17	6.24	+1.069
train	3pb9	6.58	5.69	-0.893
train	6f90	6.00	5.49	-0.509
train	2glp	5.01	5.76	+0.747
train	2cet	8.02	6.84	-1.181
train	2wyg	8.70	8.97	+0.272
train	1cqe	6.16	6.42	+0.258
train	1cpo	6.16	6.40	+0.239
train	4xmr	4.07	4.59	+0.521
train	1msn	9.09	7.58	-1.508
train	1crl	5.79	5.48	-0.314
train	5vo1	8.15	5.47	-2.682
train	1hlk	5.00	6.00	+0.998
train	2bt9	6.19	4.88	-1.310
train	3d50	4.77	5.89	+1.116
train	1pvn	9.82	5.54	-4.279
train	6euc	3.77	6.34	+2.575
train	1mld	5.50	5.35	-0.152
train	5dey	8.43	7.18	-1.250
train	3f17	8.63	8.16	-0.466
train	5dnu	4.11	5.23	+1.116
train	5om2	4.06	6.28	+2.216
train	3bgs	9.42	7.72	-1.705
train	3g2z	2.36	5.02	+2.662
train	2gst	6.07	6.57	+0.496
train	1cru	6.01	5.49	-0.517
train	1csb	6.09	7.04	+0.957
train	4cjp	3.32	5.91	+2.592
train	5tbm	7.31	7.04	-0.267
train	2ya6	5.70	5.74	+0.042
train	3uxl	5.57	5.41	-0.158
train	3pb7	5.74	6.53	+0.794
train	1pbq	6.27	4.56	-1.714
train	6g24	2.77	4.58	+1.814
train	4l9i	4.89	6.34	+1.453
train	4np3	3.30	5.12	+1.818
train	5d1r	4.84	5.87	+1.034
train	4cd4	6.58	4.90	-1.682
train	3lq2	5.22	5.84	+0.618
train	2jg0	7.82	6.25	-1.568
train	3mv0	3.85	4.67	+0.820
train	1uvt	7.64	6.41	-1.235
train	5qay	3.23	5.06	+1.826
